, ,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,Unnamed: 11,Trajectory,time[s],distance,distance normalized,time aligned [s]
69,70,69,123.21301000000001,225.54912000000002,0,4.8470699999999995,2.04648,5.22792,15.25138,49.295790000000004,0.007559999999999999,,69,9.453000000000001,34.69538644524534,0.05781943766625543,-4.6579999999999995
70,71,70,123.1004,225.53772999999998,0,4.90156,2.0152900000000002,5.01609,14.12711,43.756209999999996,0.01426,,69,9.59,28.41384023077338,0.04422854258520123,-4.521000000000001
71,72,71,123.18088999999999,225.43672,0,5.10896,2.00182,4.99911,14.27616,45.36095,0.01376,,69,9.727,36.32618108093409,0.061347861725498776,-4.384
72,73,72,122.96591000000001,225.39876,0,4.7669,1.9869900000000003,4.98569,14.446629999999999,46.92245,0.01495,,69,9.864,27.981050590799345,0.043292149157815006,-4.247
73,74,73,123.13081000000001,225.60277000000002,0,4.97232,1.98643,4.9001,13.71715,42.35644,0.01022,,69,10.001000000000001,28.454699971576392,0.04431694764206659,-4.109999999999999
74,75,74,123.01418000000001,225.37515,0,5.27227,2.00496,5.00665,14.2647,45.10298,0.00735,,69,10.138000000000002,31.083490201068624,0.050004657479624896,-3.972999999999999
75,76,75,122.96144,225.5405,0,5.0237,1.9710400000000001,4.91907,14.232429999999999,46.381159999999994,0.009559999999999999,,69,10.275,20.885090646018217,0.027939170159316865,-3.8360000000000003
76,77,76,123.21327,225.42102000000003,0,5.38433,2.08285,5.3852199999999995,15.83121,51.32078,0.00775,,69,10.412,38.64162761252124,0.06635761407024646,-3.699
77,78,77,123.16672,225.65862,0,4.59647,2.11369,5.63469,17.30305,59.14187,0.007409999999999999,,69,10.549000000000001,29.71667293679441,0.047047380815652136,-3.5619999999999994
78,79,78,122.88023000000001,225.45227000000003,0,4.31077,1.9282299999999999,4.62517,12.64354,38.40699,0.01239,,69,10.686,22.087806698772866,0.030541393740451842,-3.4250000000000007
79,80,79,123.07915,225.20073,0,5.28665,2.01878,5.05989,14.39509,45.12103,0.0127,,69,10.823,42.768582329466476,0.07528678638661689,-3.2880000000000003
80,81,80,123.08163,225.35109,0,5.16167,2.02787,5.1570800000000006,15.023579999999999,48.61466,0.00788,,69,10.96,35.10777028112688,0.058711680635618005,-3.151
81,82,81,122.91045,225.08888,0,4.56114,1.8830200000000001,4.51765,12.5967,39.647420000000004,0.011909999999999999,,69,11.097000000000001,44.82656724739105,0.0797394889765406,-3.0139999999999993
82,83,82,123.04356000000001,224.73085,0,4.19474,1.8800299999999999,4.34863,11.2716,31.832359999999998,0.010459999999999999,,69,11.234000000000002,69.61022911569619,0.13336197883428239,-2.876999999999999
83,84,83,122.89621000000001,225.06207,0,4.86699,1.9268599999999998,4.64325,12.773439999999999,38.981770000000004,0.00817,,69,11.371,46.264264590743174,0.08285012337843231,-2.74
84,85,84,122.91033,225.16875,0,5.05315,1.9779,4.864240000000001,13.627379999999999,42.34105,0.01975,,69,11.508000000000001,39.86255542664561,0.06899924102907956,-2.6029999999999998
85,86,85,122.9775,225.26955,0,4.9998,1.9746,4.85887,13.633970000000001,42.44315,0.00873,,69,11.645000000000001,35.54255442142316,0.05965238940889093,-2.4659999999999993
86,87,86,123.02277,225.26216000000002,0,5.4966099999999996,2.1129700000000002,5.6222,17.22599,58.77356999999999,0.00772,,69,11.782,37.43147325212749,0.06373929679891928,-2.3290000000000006
87,88,87,122.90118000000001,224.98529,0,5.12557,1.8598299999999999,4.30072,11.27934,32.687470000000005,0.007540000000000001,,69,11.919,51.18675482632063,0.09350053428763086,-2.192
88,89,88,122.82168999999999,224.78081,0,5.44099,1.8966599999999998,4.43752,11.70355,33.89067,0.00851,,69,12.056000000000001,63.44200129245782,0.1200162619805986,-2.0549999999999997
89,90,89,123.06783999999999,225.05822999999998,0,4.90798,1.98718,5.01377,14.65303,48.0277,0.007940000000000001,,69,12.193000000000001,50.43990486202243,0.0918846328583489,-1.9179999999999993
90,91,90,122.90874,224.90182000000001,0,5.18342,1.87743,4.46844,12.314060000000001,38.25763,0.014219999999999998,,69,12.330000000000002,56.58419514548345,0.10517855791101671,-1.7809999999999988
91,92,91,122.94243999999999,225.16646,0,5.16482,1.9922900000000001,4.88856,13.5307,41.11464,0.01805,,69,12.467,40.70103216617865,0.07081338821606414,-1.6440000000000001
92,93,92,123.05259,225.37096,0,5.50828,1.93606,4.62884,12.507,37.202909999999996,0.00908,,69,12.604000000000001,32.88766722655874,0.05390821558838998,-1.5069999999999997
93,94,93,123.10207,224.99187,0,5.19459,1.9149599999999998,4.61217,12.75003,39.33744,0.00831,,69,12.741000000000001,55.293114642622776,0.10238514701241536,-1.3699999999999992
94,95,94,123.06732,225.19502000000003,0,5.15704,2.0043599999999997,4.99273,14.14825,44.33177,0.00985,,69,12.878,42.666799901471144,0.07506656762952289,-1.2330000000000005
95,96,95,123.03236000000001,225.20997999999997,0,5.33549,1.99422,4.96176,14.09534,44.4429,0.00856,,69,13.015,40.66138331774368,0.0707276030732401,-1.096
96,97,96,122.93881,225.0284,0,5.49675,1.9620900000000001,4.86937,13.980770000000001,45.071870000000004,0.010740000000000001,,69,13.152000000000001,49.11963785864849,0.08902807338888372,-0.9589999999999996
97,98,97,122.96453999999999,224.93582,0,4.9504,1.9298799999999998,4.695869999999999,13.14584,41.13494,0.017480000000000002,,69,13.289000000000001,55.36382783968422,0.10253814368063915,-0.8219999999999992
98,99,98,123.19939,225.21312999999998,0,5.66779,2.02441,5.09441,14.591239999999999,46.21074,0.00811,,69,13.426000000000002,46.89396603351425,0.08421255962404538,-0.6849999999999987
99,100,99,123.07206000000001,225.0249,0,5.59126,2.0221,5.132680000000001,14.912289999999999,48.0224,0.01541,,69,13.563,52.503539907346145,0.09634956019136205,-0.548
100,101,100,122.91878,224.9489,0,5.985519999999999,1.89257,4.4317,11.69617,33.801559999999995,0.01102,,69,13.700000000000001,53.755529715948434,0.099058393582106,-0.4109999999999996
101,102,101,122.94878,224.88687000000002,0,5.912319999999999,1.9709900000000002,4.87627,13.815270000000002,43.50111,0.0168,,69,13.837000000000002,58.14631565455925,0.10855839708085349,-0.27399999999999913
102,103,102,122.90831999999999,224.78262,0,5.64285,1.8700900000000003,4.34213,11.42459,33.1785,0.00873,,69,13.974,64.16300641048666,0.1215762449175158,-0.13700000000000045
103,104,103,122.88226,225.03,0,5.65819,1.8995099999999998,4.53451,12.40155,37.76185,0.00845,,69,14.111,48.07783713627621,0.08677400984629488,0.0
104,105,104,122.91618000000001,224.75,0,5.9393,1.9410599999999998,4.65752,12.583269999999999,37.13668,0.00923,,69,14.248000000000001,66.34199261058,0.1262907486109385,0.13700000000000045
105,106,105,122.8795,224.96347000000003,0,5.49895,1.8991900000000002,4.53113,12.40302,37.90477,0.01132,,69,14.385000000000002,52.26832464045105,0.09584064313421004,0.2740000000000009
106,107,106,122.9724,224.85008,0,6.1201,1.92782,4.616280000000001,12.524410000000001,37.41867,0.008759999999999999,,69,14.522000000000002,60.85794798111665,0.11442534594827251,0.41100000000000136
107,108,107,122.90521000000001,224.90367,0,5.70179,1.8926900000000002,4.49308,12.203660000000001,36.903009999999995,0.01695,,69,14.659,56.417185763047854,0.10481721264398605,0.548
108,109,108,122.88385,225.00636,0,5.52856,2.0270599999999996,5.19551,15.34781,50.53784,0.00772,,69,14.796000000000001,49.59994286312018,0.09006727213069042,0.6850000000000005
109,110,109,122.85811000000001,225.09415,0,6.128909999999999,1.98403,4.94993,14.172529999999998,45.14867,0.0077,,69,14.933000000000002,43.66877352642573,0.07723446036576793,0.822000000000001
110,111,110,122.87218999999999,224.9306,0,6.62953,1.92787,4.62005,12.57629,37.82926,0.010020000000000001,,69,15.07,54.274442857617416,0.10018112576042781,0.9589999999999996
111,112,111,122.95298000000001,224.97449,0,6.1578599999999994,1.9334799999999999,4.6616800000000005,12.7712,38.571490000000004,0.008029999999999999,,69,15.207,52.74037394871014,0.0968619796654693,1.096
112,113,112,123.04425,224.80177,0,5.333080000000001,1.93681,4.71895,13.21296,41.32586,0.01515,,69,15.344000000000001,65.24661832947517,0.12392077210822924,1.2330000000000005
113,114,113,123.09499,224.72557,0,5.9871,1.9514,4.74575,13.119620000000001,40.06108,0.00811,,69,15.481000000000002,71.01713625254224,0.1364059948508498,1.370000000000001
114,115,114,122.89329,224.65346,0,6.13065,1.9117400000000002,4.49677,11.90821,34.611,0.01499,,69,15.618000000000002,72.26100645095349,0.13909726046983217,1.5070000000000014
115,116,115,122.91383,224.74559,0,5.56409,1.8536400000000002,4.27795,11.22021,32.627559999999995,0.014709999999999999,,69,15.755,66.59406101269315,0.12683612949160067,1.6440000000000001
116,117,116,122.88065,224.5822,0,5.67804,1.9942,4.96446,14.121410000000001,44.614779999999996,0.01312,,69,15.892000000000001,76.72230941013633,0.14874983618492585,1.7810000000000006
117,118,117,123.07626,224.85062000000002,0,5.47356,2.0666700000000002,5.3857099999999996,16.148310000000002,53.8798,0.00775,,69,16.029,62.988001603655405,0.119033978013137,1.9179999999999993
118,119,118,123.14215,224.90782000000002,0,5.52924,2.00415,5.0052,14.24939,44.91329,0.0161,,69,16.166,61.34440146700137,0.11547784768315437,2.0549999999999997
119,120,119,123.14255,224.60948,0,5.68907,1.88863,4.47698,12.19324,37.24964,0.01157,,69,16.303,79.16651998468015,0.1540381853175161,2.192
120,121,120,123.00593,224.52875,0,5.83858,1.9527900000000002,4.7379,13.07591,39.992940000000004,0.01318,,69,16.44,81.63236057190896,0.1593733336334549,2.3290000000000006
121,122,121,123.07581,224.41856,0,4.99654,1.9811299999999998,4.95296,14.24216,45.715720000000005,0.014509999999999999,,69,16.577,89.6861746450616,0.17679874743019738,2.466000000000001
122,123,122,123.19833,224.53839,0,6.187930000000001,1.96229,4.82468,13.597999999999999,42.70648,0.00777,,69,16.714000000000002,84.77868480498041,0.16618079171505512,2.6030000000000015
123,124,123,123.39648000000001,224.18431,0,6.04493,1.94825,4.68936,12.76132,38.21933,0.01205,,69,16.851000000000003,110.97239957363028,0.22285410383422835,2.740000000000002
124,125,124,123.66519,224.25458999999998,0,6.4337599999999995,2.04224,5.23611,15.408539999999999,50.4257,0.00886,,69,16.988,115.10125343176004,0.2317873851753041,2.876999999999999
125,126,125,123.71693,224.01873999999998,0,6.70361,1.91641,4.5981,12.612039999999999,38.45936,0.00763,,69,17.125,129.9668323301172,0.2639508869993035,3.0139999999999993
126,127,126,123.96575,223.95588999999998,0,5.87809,1.9459,4.77641,13.48204,42.46346,0.00872,,69,17.262,142.08411014794086,0.2901681026126524,3.151
127,128,127,124.28428000000001,224.63712999999998,0,6.31802,2.01174,5.08027,14.712779999999999,47.39669,0.01351,,69,17.399,124.88762002192139,0.25296138867864343,3.2880000000000003
128,129,128,124.36438000000001,224.29584,0,6.62355,1.9545299999999999,4.7712900000000005,13.310979999999999,41.30523,0.007940000000000001,,69,17.536,142.7903712995457,0.29169618517123835,3.4250000000000007
129,130,129,124.35600000000001,223.97643,0,6.26851,1.9749400000000001,4.85578,13.59637,42.14537,0.007859999999999999,,69,17.673000000000002,156.94771328760925,0.3223273296405861,3.562000000000001
130,131,130,124.78281000000001,224.2859,0,6.85151,1.87208,4.35661,11.51168,33.68529,0.01346,,69,17.810000000000002,164.52631545854493,0.33872456424644415,3.6990000000000016
131,132,131,124.89728999999998,224.04269,0,5.9674,1.9548900000000002,4.794490000000001,13.450520000000001,41.87595,0.01034,,69,17.947000000000003,179.95116255282053,0.3720981113544194,3.836000000000002
132,133,132,124.93863,223.87523,0,5.804209999999999,1.87248,4.34999,11.43523,33.10638,0.02804,,69,18.084000000000003,188.90992197394516,0.39148148531868243,3.9730000000000025
133,134,133,125.00903000000001,224.32481,0,5.65868,2.0028099999999998,5.01446,14.327729999999999,45.320809999999994,0.0077599999999999995,,69,18.221,175.37003885182872,0.36218628877957837,4.109999999999999
134,135,134,125.14211,224.00327000000001,0,6.57331,1.96386,4.84607,13.739120000000002,43.49385,0.00775,,69,18.358,194.21010930747562,0.4029490901886404,4.247
135,136,135,125.23087,224.33067000000003,0,6.7718300000000005,2.01037,5.05901,14.588770000000002,46.805479999999996,0.01152,,69,18.495,187.5759505290629,0.38859527461044185,4.384
136,137,136,125.32903999999999,224.55527999999998,0,6.19044,1.9823400000000002,4.8777099999999995,13.65838,42.38071,0.00782,,69,18.632,186.6164650740977,0.3865193102371819,4.521000000000001
137,138,137,125.19656,224.29599,0,5.64125,1.9446700000000001,4.727609999999999,13.15962,40.837709999999994,0.01326,,69,18.769000000000002,186.76969116858766,0.38685083367150686,4.658000000000001
138,139,138,125.38288,224.49181000000002,0,6.46818,1.9891400000000001,4.93116,13.951260000000001,43.81348,0.00875,,69,18.906000000000002,191.53041153555546,0.3971512356439751,4.795000000000002
139,140,139,125.5349,224.56534,0,5.67696,1.9246299999999998,4.64936,12.92688,40.34598,0.00805,,69,19.043000000000003,198.60414034803458,0.4124561148631619,4.932000000000002
140,141,140,125.76122,224.64401,0,6.178640000000001,1.9559900000000001,4.8104,13.61517,43.12325,0.01324,,69,19.18,210.43459151348944,0.4380527458615615,5.068999999999999
