, ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,distance[nm],speed[nm],time[s],lifetime_frames,lifetime_seconds,max_intensity_AU,distance normalized,inflectionPoint_fromDistance_AU,inflectionPoint_fromDistance_Index,inflectionPoint_fromDistance_Frame,inflectionPoint_fromDistance_Time,inflectionPoint_fromDistance_Intensity,time_aligned_by_inflectionPoint_fromDistance[s],inflectionPoint_fromDistance_Time_plus_dt_Index,inflectionPoint_fromDistance_Time_plus_dt_Time,inflectionPoint_fromDistance_Time_plus_dt_Intensity,inflectionPoint_fromIntensity_alignment_threshold,inflectionPoint_fromIntensity_raw_AU,inflectionPoint_fromIntensity_raw_Index,inflectionPoint_fromIntensity_raw_Frame,inflectionPoint_fromIntensity_raw_Time,inflectionPoint_fromIntensity_raw_Intensity,time_aligned_by_inflectionPoint_fromIntensity_raw[s],inflectionPoint_fromIntensity_raw_Time_plus_dt_Index,inflectionPoint_fromIntensity_raw_Time_plus_dt_Time,inflectionPoint_fromIntensity_raw_Time_plus_dt_Intensity,inflectionPoint_fromIntensity_minMaxRescaled_AU,inflectionPoint_fromIntensity_minMaxRescaled_Index,inflectionPoint_fromIntensity_minMaxRescaled_Frame,inflectionPoint_fromIntensity_minMaxRescaled_Time,inflectionPoint_fromIntensity_minMaxRescaled_Intensity,inflectionPoint_fromIntensity_minMaxRescaled_Time_plus_dt_Index,inflectionPoint_fromIntensity_minMaxRescaled_Time_plus_dt_Time,inflectionPoint_fromIntensity_minMaxRescaled_Time_plus_dt_Intensity
20,2011,73,21,842.1406900000001,139.05391,0,3.82177,1.85132,4.2057,10.663310000000001,29.31883,0.00886,95.4596667101905,3.1843150385902947,3.36,39,6.24,5.27,0.36855103332278105,96.24887305327073,27,28,4.48,5.26698,-1.1200000000000006,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,1.1199999999999997,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
21,2012,73,22,842.1469099999999,139.12636,0,4.39233,1.76771,3.84465,9.327639999999999,24.55363,0.0072900000000000005,99.10211867403261,4.7265731828138815,3.52,39,6.24,5.27,0.38447287910477973,96.24887305327073,27,28,4.48,5.26698,-0.9600000000000004,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,1.2799999999999998,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
22,2013,73,23,842.2203400000001,139.14876999999998,0,4.25212,1.77145,3.85103,9.31361,24.35751,0.006690000000000001,103.47826425884415,4.990278642028464,3.68,39,6.24,5.27,0.4036018383368044,96.24887305327073,27,28,4.48,5.26698,-0.8000000000000003,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,1.44,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
23,2014,73,24,842.1217,139.23183999999998,0,4.35805,1.7851400000000002,3.9111800000000003,9.54447,25.22588,0.00554,103.1052209132259,8.38234780729914,3.84,39,6.24,5.27,0.401971195385876,96.24887305327073,27,28,4.48,5.26698,-0.6400000000000006,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,1.5999999999999996,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
24,2015,73,25,842.0767199999999,139.26361,0,4.87369,1.82961,4.08471,10.12321,27.069570000000002,0.0103,102.84922592786886,3.579448727465307,4.0,39,6.24,5.27,0.4008521929341537,96.24887305327073,27,28,4.48,5.26698,-0.4800000000000004,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,1.7599999999999998,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
25,2016,73,26,841.95746,139.28716,0,4.90099,1.84975,4.22074,10.79247,30.03742,0.012980000000000002,99.48963794157073,7.901591559454321,4.16,39,6.24,5.27,0.3861667990456722,96.24887305327073,27,28,4.48,5.26698,-0.3200000000000003,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,1.92,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
26,2017,73,27,841.85907,139.2251,0,4.597519999999999,1.80122,3.9846699999999995,9.83147,26.30702,0.00613,92.60280992951758,7.561273096013463,4.32,39,6.24,5.27,0.3560631725260797,96.24887305327073,27,28,4.48,5.26698,-0.16000000000000014,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,2.08,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
27,2018,73,28,841.59796,139.41534,0,5.26698,1.79836,3.9510099999999997,9.63402,25.35892,0.0048200000000000005,96.24887305327073,20.99909376574497,4.48,39,6.24,5.27,0.37200080337038494,96.24887305327073,27,28,4.48,5.26698,0.0,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,2.24,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
28,2019,73,29,841.5133699999999,139.38916,0,4.97012,1.75465,3.7697199999999995,8.98087,23.0689,0.00471,92.894897223756,5.755661179441564,4.64,39,6.24,5.27,0.35733994127963115,96.24887305327073,27,28,4.48,5.26698,0.15999999999999925,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,2.3999999999999995,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
29,2020,73,30,841.28021,139.70122,0,5.06323,1.80528,3.96564,9.63149,25.141170000000002,0.00763,109.7733006485302,25.32040182085937,4.8,39,6.24,5.27,0.4311186318549071,96.24887305327073,27,28,4.48,5.26698,0.3199999999999994,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,2.5599999999999996,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
30,2021,73,31,841.25909,140.05217,0,4.698869999999999,1.8213400000000002,4.05915,10.054160000000001,26.881,0.00924,132.35367106057097,22.85301988583674,4.96,39,6.24,5.27,0.5298216975287484,96.24887305327073,27,28,4.48,5.26698,0.47999999999999954,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,2.7199999999999998,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
31,2022,73,32,841.0311300000001,140.10738,0,4.15636,1.8172599999999999,4.0787,10.27443,28.24515,0.01151,135.5765272003695,15.245778156013895,5.12,39,6.24,5.27,0.5439094106804444,96.24887305327073,27,28,4.48,5.26698,0.6399999999999997,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,2.88,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
32,2023,73,33,840.86896,140.40495,0,4.35579,1.78319,3.8997699999999997,9.49439,25.02475,0.01077,155.55107588060164,22.027905785732354,5.28,39,6.24,5.27,0.6312219371897076,96.24887305327073,27,28,4.48,5.26698,0.7999999999999998,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,3.04,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
33,2024,73,34,840.7558,140.29854,0,4.10279,1.79434,3.9374599999999997,9.59159,25.21217,0.00645,149.57343003643706,10.096630942175892,5.44,39,6.24,5.27,0.6050925177176106,96.24887305327073,27,28,4.48,5.26698,0.96,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,3.2,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
34,2025,73,35,840.7325400000001,140.41005,0,3.7434,1.76725,3.8450699999999998,9.34797,24.71989,0.01097,156.96587231485202,7.404155592131808,5.6000000000000005,39,6.24,5.27,0.6374062797322226,96.24887305327073,27,28,4.48,5.26698,1.12,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,3.3600000000000003,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
35,2026,73,36,840.54114,140.80981,0,3.80424,1.7773299999999999,3.8682199999999995,9.356860000000001,24.4733,0.01056,184.71478884426713,28.809156953302633,5.76,39,6.24,5.27,0.7587020370914688,96.24887305327073,27,28,4.48,5.26698,1.2799999999999994,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,3.5199999999999996,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
36,2027,73,37,840.56055,141.11908,0,2.48055,1.8590200000000001,4.226430000000001,10.693719999999999,29.26042,0.0059,204.2507623288642,20.14210210541575,5.92,39,6.24,5.27,0.8440974685510155,96.24887305327073,27,28,4.48,5.26698,1.4399999999999995,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,3.6799999999999997,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
37,2028,73,38,840.69171,141.62604,0,2.1778,1.6768599999999998,3.4481300000000004,7.85847,19.33455,0.0025399999999999997,235.68895915965658,34.037378144032566,6.08,39,6.24,5.27,0.9815197672039276,96.24887305327073,27,28,4.48,5.26698,1.5999999999999996,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,3.84,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
38,2029,73,39,840.7955900000001,141.70141999999998,0,1.9824,1.94912,4.70161,12.7958,38.16557,0.00564,239.91669513712836,8.342617390849245,6.24,39,6.24,5.27,1.0,96.24887305327073,27,28,4.48,5.26698,1.7599999999999998,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,4.0,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
