, ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,distance[nm],speed[nm],time[s],lifetime_frames,lifetime_seconds,max_intensity_AU,distance normalized,dt,inflectionPoint_fromDistance_AU,inflectionPoint_fromDistance_Index,inflectionPoint_fromDistance_Frame,inflectionPoint_fromDistance_Time,inflectionPoint_fromDistance_Intensity,time_aligned_by_inflectionPoint_fromDistance[s],inflectionPoint_fromDistance_Time_plus_dt_Index,inflectionPoint_fromDistance_Time_plus_dt_Time,inflectionPoint_fromDistance_Time_plus_dt_Intensity,inflectionPoint_fromDistance_Time_plus_dt_Distance,inflectionPoint_fromIntensity_alignment_threshold,inflectionPoint_fromIntensity_raw_AU,inflectionPoint_fromIntensity_raw_Index,inflectionPoint_fromIntensity_raw_Frame,inflectionPoint_fromIntensity_raw_Time,inflectionPoint_fromIntensity_raw_Intensity,time_aligned_by_inflectionPoint_fromIntensity_raw[s],inflectionPoint_fromIntensity_raw_Time_plus_dt_Index,inflectionPoint_fromIntensity_raw_Time_plus_dt_Time,inflectionPoint_fromIntensity_raw_Time_plus_dt_Intensity,inflectionPoint_fromIntensity_raw_Time_plus_dt_Distance,inflectionPoint_fromIntensity_minMaxRescaled_AU,inflectionPoint_fromIntensity_minMaxRescaled_Index,inflectionPoint_fromIntensity_minMaxRescaled_Frame,inflectionPoint_fromIntensity_minMaxRescaled_Time,inflectionPoint_fromIntensity_minMaxRescaled_Intensity,inflectionPoint_fromIntensity_minMaxRescaled_Time_plus_dt_Index,inflectionPoint_fromIntensity_minMaxRescaled_Time_plus_dt_Time,inflectionPoint_fromIntensity_minMaxRescaled_Time_plus_dt_Intensity,inflectionPoint_fromIntensity_minMaxRescaled_Time_plus_dt_Distance
34,1944,69,34,453.88443,134.7419,0,4.72561,1.84228,4.14211,10.32858,27.74257,0.00922,14.489968141182985,1.544215193070641,5.44,47,7.52,5.53,0.02936456034639955,2.0,14.458398838734013,33,33,5.28,4.7539,0.16000000000000014,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,3.5200000000000005,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
35,1945,69,35,453.79742000000005,134.6799,0,5.06853,1.8161200000000002,4.01829,9.85908,26.08729,0.00611,17.007399239742092,6.944586159193701,5.6000000000000005,47,7.52,5.53,0.04541358355494877,2.0,14.458398838734013,33,33,5.28,4.7539,0.3200000000000003,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,3.6800000000000006,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
36,1946,69,36,453.65512,134.48596,0,4.82736,1.7822099999999998,3.8755599999999997,9.32967,24.16814,0.00509,30.76741262569811,15.635440750424582,5.76,47,7.52,5.53,0.13313585500363087,2.0,14.458398838734013,33,33,5.28,4.7539,0.47999999999999954,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,3.84,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
37,1947,69,37,453.46628,134.59354,0,5.35401,1.77984,3.86246,9.276,23.97513,0.0024,30.643097164126868,14.126700196791523,5.92,47,7.52,5.53,0.1323433241855758,2.0,14.458398838734013,33,33,5.28,4.7539,0.6399999999999997,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,4.0,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
38,1948,69,38,453.19949,134.32664,0,5.02234,1.81302,4.02191,9.91422,26.39445,0.00808,55.15944895085946,24.52942869437419,6.08,47,7.52,5.53,0.2886389618455037,2.0,14.458398838734013,33,33,5.28,4.7539,0.7999999999999998,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,4.16,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
39,1949,69,39,453.11510999999996,134.17261000000002,0,4.38558,1.7833700000000001,3.91759,9.61638,25.65265,0.01065,66.25736980295247,11.415825721011966,6.24,47,7.52,5.53,0.35938997045258236,2.0,14.458398838734013,33,33,5.28,4.7539,0.96,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,4.32,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
40,1950,69,40,453.00327000000004,134.25423999999998,0,3.91835,1.87348,4.3098,11.07766,30.90687,0.01004,67.6283714494327,9.000010531237928,6.4,47,7.52,5.53,0.3681303237658923,2.0,14.458398838734013,33,33,5.28,4.7539,1.12,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,4.48,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
41,1951,69,41,452.8873,134.22612,0,3.5103800000000005,1.7368299999999999,3.7003199999999996,8.75334,22.358929999999997,0.007690000000000001,74.58351889157703,7.756484425469667,6.5600000000000005,47,7.52,5.53,0.41247049370410643,2.0,14.458398838734013,33,33,5.28,4.7539,1.2800000000000002,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,4.640000000000001,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
42,1952,69,42,452.45474,133.87811000000002,0,3.73279,1.7859200000000002,3.8997800000000002,9.44917,24.69535,0.008490000000000001,110.66962317705956,36.08636522819032,6.72,47,7.52,5.53,0.6425251416804981,2.0,14.458398838734013,33,33,5.28,4.7539,1.4399999999999995,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,4.8,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
43,1953,69,43,452.68542,133.13391000000001,0,3.15552,1.7276099999999999,3.6698199999999996,8.68019,22.24181,0.00403,137.498068259493,50.64358955129518,6.88,47,7.52,5.53,0.8135607414328435,2.0,14.458398838734013,33,33,5.28,4.7539,1.5999999999999996,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,4.96,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
44,1954,69,44,451.798,133.36248999999998,0,2.50617,1.7962,3.96854,9.76631,26.00252,0.01027,164.94113486369326,59.565081906936754,7.04,47,7.52,5.53,0.9885146510340483,2.0,14.458398838734013,33,33,5.28,4.7539,1.7599999999999998,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,5.12,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
45,1955,69,45,452.11526,133.16948,0,2.50507,1.88877,4.37744,11.3371,31.8626,0.007109999999999999,158.231457117258,24.138270309457024,7.2,47,7.52,5.53,0.9457393894048183,2.0,14.458398838734013,33,33,5.28,4.7539,1.92,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,5.28,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
46,1956,69,46,451.65393,133.51271,0,2.12562,1.7988400000000002,3.9856599999999998,9.85468,26.4199,0.00583,166.742713332923,37.375407056043144,7.36,47,7.52,5.53,1.0,2.0,14.458398838734013,33,33,5.28,4.7539,2.08,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,5.44,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
