,time[frames],multi_alignedByDistance_intensity_mean,multi_alignedByDistance_intensity_std,multi_alignedByDistance_intensity_mean_normalized,multi_alignedByDistance_intensity_std_normalized,multi_alignedByDistance_distance_mean,multi_alignedByDistance_distance_std,multi_alignedByDistance_distance_mean_normalized,multi_alignedByDistance_distance_std_normalized
222,-139.834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,-139.331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,-138.828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,-138.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,-137.822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,-137.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,-136.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,-136.313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,-135.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,-135.307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,-134.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,-134.301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,-133.798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,-133.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,-132.792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,-132.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,-131.786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,-131.283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,-130.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,-130.277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,-129.774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,-129.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,-128.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,-128.26500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,-127.762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,-127.259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,-126.756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,-126.253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,-125.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,-125.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,-124.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,-124.241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,-123.738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,-123.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,-122.732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,-122.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,-121.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259,-121.223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,-120.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,-120.217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,-119.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,-119.211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,-118.708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,-118.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,-117.702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,-117.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,-116.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,-116.193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,-115.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,-115.187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,-114.684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,-114.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,-113.678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,-113.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,-112.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277,-112.169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,-111.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,-111.163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,-110.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,-110.157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,-109.654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,-109.151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,-108.648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,-108.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,-107.642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,-107.139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,-106.636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,-106.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,-105.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,-105.127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,-104.624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,-104.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,-103.618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,-103.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,-102.612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,-102.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,-101.606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,-101.103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,-100.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,-100.097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,-99.594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,-99.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,-98.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,-98.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,-97.582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,-97.079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,-96.576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
309,-96.07300000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310,-95.57000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,-95.06700000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,-94.56400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313,-94.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314,-93.558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,-93.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,-92.552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317,-92.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,-91.546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
319,-91.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320,-90.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
321,-90.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322,-89.534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323,-89.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
324,-88.528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,-88.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326,-87.522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
327,-87.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
328,-86.516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
329,-86.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330,-85.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331,-85.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
332,-84.504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
333,-84.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
334,-83.498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
335,-82.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
336,-82.492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
337,-81.989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338,-81.486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,-80.983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340,-80.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341,-79.977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
342,-79.474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343,-78.971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
344,-78.468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
