 ,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,,Trajectory
111,110,122.87219,224.9306,0,6.62953,1.92787,4.62005,12.57629,37.82926,0.01002,,69
112,111,122.95298,224.97449,0,6.15786,1.93348,4.66168,12.7712,38.57149,0.00803,,69
113,112,123.04425,224.80177,0,5.33308,1.93681,4.71895,13.21296,41.32586,0.01515,,69
114,113,123.09499,224.72557,0,5.9871,1.9514,4.74575,13.11962,40.06108,0.00811,,69
115,114,122.89329,224.65346,0,6.13065,1.91174,4.49677,11.90821,34.611,0.01499,,69
116,115,122.91383,224.74559,0,5.56409,1.85364,4.27795,11.22021,32.62756,0.01471,,69
117,116,122.88065,224.5822,0,5.67804,1.9942,4.96446,14.12141,44.61478,0.01312,,69
118,117,123.07626,224.85062,0,5.47356,2.06667,5.38571,16.14831,53.8798,0.00775,,69
119,118,123.14215,224.90782,0,5.52924,2.00415,5.0052,14.24939,44.91329,0.0161,,69
120,119,123.14255,224.60948,0,5.68907,1.88863,4.47698,12.19324,37.24964,0.01157,,69
121,120,123.00593,224.52875,0,5.83858,1.95279,4.7379,13.07591,39.99294,0.01318,,69
122,121,123.07581,224.41856,0,4.99654,1.98113,4.95296,14.24216,45.71572,0.01451,,69
123,122,123.19833,224.53839,0,6.18793,1.96229,4.82468,13.598,42.70648,0.00777,,69
124,123,123.39648,224.18431,0,6.04493,1.94825,4.68936,12.76132,38.21933,0.01205,,69
125,124,123.66519,224.25459,0,6.43376,2.04224,5.23611,15.40854,50.4257,0.00886,,69
126,125,123.71693,224.01874,0,6.70361,1.91641,4.5981,12.61204,38.45936,0.00763,,69
127,126,123.96575,223.95589,0,5.87809,1.9459,4.77641,13.48204,42.46346,0.00872,,69
128,127,124.28428,224.63713,0,6.31802,2.01174,5.08027,14.71278,47.39669,0.01351,,69
129,128,124.36438,224.29584,0,6.62355,1.95453,4.77129,13.31098,41.30523,0.00794,,69
130,129,124.356,223.97643,0,6.26851,1.97494,4.85578,13.59637,42.14537,0.00786,,69
131,130,124.78281,224.2859,0,6.85151,1.87208,4.35661,11.51168,33.68529,0.01346,,69
132,131,124.89729,224.04269,0,5.9674,1.95489,4.79449,13.45052,41.87595,0.01034,,69
133,132,124.93863,223.87523,0,5.80421,1.87248,4.34999,11.43523,33.10638,0.02804,,69
134,133,125.00903,224.32481,0,5.65868,2.00281,5.01446,14.32773,45.32081,0.00776,,69
135,134,125.14211,224.00327,0,6.57331,1.96386,4.84607,13.73912,43.49385,0.00775,,69
136,135,125.23087,224.33067,0,6.77183,2.01037,5.05901,14.58877,46.80548,0.01152,,69
137,136,125.32904,224.55528,0,6.19044,1.98234,4.87771,13.65838,42.38071,0.00782,,69
138,137,125.19656,224.29599,0,5.64125,1.94467,4.72761,13.15962,40.83771,0.01326,,69
139,138,125.38288,224.49181,0,6.46818,1.98914,4.93116,13.95126,43.81348,0.00875,,69
140,139,125.5349,224.56534,0,5.67696,1.92463,4.64936,12.92688,40.34598,0.00805,,69
141,140,125.76122,224.64401,0,6.17864,1.95599,4.8104,13.61517,43.12325,0.01324,,69
142,141,125.88958,224.44432,0,6.30421,1.89786,4.5054,12.22671,36.97907,0.00856,,69
143,142,125.82137,224.71291,0,6.47188,1.97612,4.87664,13.74795,43.02832,0.00952,,69
144,143,125.90245,224.78641,0,6.90341,1.98692,4.98314,14.40127,46.49345,0.00785,,69
145,144,126.0799,224.59906,0,5.83544,1.95729,4.80975,13.57265,42.77493,0.01163,,69
146,145,126.04343,224.54034,0,5.34774,2.02249,5.13217,14.91964,48.17624,0.01316,,69
147,146,126.38476,223.98682,0,5.17845,1.94481,4.73673,13.23102,41.24621,0.01026,,69
148,147,126.383,223.90216,0,5.68552,1.86761,4.36118,11.634,34.57681,0.00815,,69
149,148,126.81648,223.86395,0,5.76011,1.89983,4.53228,12.4079,37.96589,0.00788,,69
150,149,127.29198,223.60368,0,4.69319,1.78037,3.92955,9.81977,27.20645,0.00995,,69
151,150,127.47316,223.10466,0,4.57865,1.82577,4.121,10.49439,29.42524,0.02395,,69
152,151,128.03587,222.77477,0,4.56387,1.82,4.07541,10.2058,27.797,0.01139,,69
153,152,128.0546,222.65234,0,4.98478,1.7905,3.94179,9.67496,25.73412,0.00885,,69
154,153,128.56091,222.99596,0,4.09603,1.89528,4.47393,12.01575,35.72954,0.01168,,69
155,154,128.31921,222.46582,0,3.79998,1.81701,4.05678,10.11776,27.44253,0.00789,,69
156,155,128.62997,222.42924,0,2.91005,1.80233,3.95612,9.61603,25.16608,0.01871,,69
157,156,128.97473,222.23306,0,3.15085,1.81174,4.05137,10.14711,27.65437,0.01491,,69
158,157,129.11467,222.37271,0,2.52216,1.87482,4.2846,10.94448,30.5253,0.01106,,69
159,158,128.89449,222.50674,0,2.3299,1.83018,4.13029,10.48133,29.17098,0.0172,,69
160,159,128.76689,222.2625,0,2.44776,1.87977,4.323,11.08633,30.82546,0.01692,,69
161,160,128.44899,221.69017,0,1.3746,1.71,3.68893,9.21716,26.40286,0.01448,,69
162,161,128.08049,222.00984,0,1.08961,1.89494,4.59184,12.94074,41.13948,0.01208,,69
163,163,127.57494,221.03372,0,1.21613,2.08849,5.90122,20.24952,79.48901,0.00791,,69
